Blofeld Factory Soundset 080103
-------------------------------

The sounds are divided into these categories:
Intro
Keys
Poly
Pad
Mono/Lead
Seq
Arp
Bass
Atmo
FX
Perc/Drum

Sound Programmers:
AG	Achim Gratz
AT	AdamT
DK	Dirk "DKDent" Krause
DocT	Dr. Stefan Trippler
HM	Hubertus Maass
HS	Howard Scarr
H2SCD	Hans Herooms and Boele Gerkes
jh	Joerg Huettner
JL	Leyton "Synthline"
PROX	Peter "Proxenos" Grandl
RZ	Rocco Zodiac
S	Stefan Stenzel
SCD	Boele "Something Completely Different" Gerkes
SK	Steve Kay
ST	Sascha Timm "Synthline"
T	Holger "Tsching" Steinbrink
WMF	Wolfram Franke


Intro
------------------------
A001	With Love    WMF
A002	ScaramangAtmo  T
A003	Handy      H2SCD
A004	Angels Cry    JL
A005	Chorus       WMF
A006	ModWheelOrganSCD
A007	SyncMush    DocT
A008	Yummi       DocT
A009	Pussy Galore   T
A010	Clinics      WMF
A011	CtrlAltDel  DocT
A012	Tines&Bars   WMF
A013	Unstable    DocT
A014	Deepspace 9   ST
A015	DrivingLicnsDocT
A016	FlangedHeavenSCD
A017	Heaven        JL
A018	Hmm, lecker  WMF
A019	Horse Trip   SCD
A020	Inversion   DocT
A021	JMX vs. DeLeon
A022	LA Woman   H2SCD
A023	Minor Chords
A024	MoogSolo 2
A025	OhMyLord    DocT
A026	PPG Bells    WMF
A027	PPGesus      SCD
A028	Quadratur   DocT
A029	RingmodFart  SCD
A030	SchnoerkelosDocT
A031	Schulze?     SCD
A032	shArp       DocT
A033	Space Echo   SCD
A034	Synthline     JL
A035	Taken!       SCD
A036	TouchyBuggerDocT
A037	UpperWarp    SCD
A038	WhatYouSay?  SCD
A039	WT mess     SCD
A040	10VoicePS3100SCD
A041	ArcoStrings  TEK
A042	Blocked      SCD
A043	Blolitzer    SCD
A044	BloodyFeld   SCD
A045	BloSync     DocT
A046	Blovachord   SCD
A047	Boele Keys   SCD
A048	Bonker Bass   ST
A049	Camel Saw   DocT
A050	Cream S+H    SCD
A051	CS4O RingMod
A052	DalaiDelayMa SCD
A053	Dirty Organ  SCD
A054	Dr.Blo      DocT
A055	Driven      DocT
A056	Euro Clubber  ST
A057	Flangelized  SCD
A058	Funky Bass    JL
A059	Goldfinger Pad T
A060	HardSaw       ST
A061	Heimweh     DocT
A062	Honey House
A063	Horny Bass    ST
A064	HP PPG       SCD
A065	Hyper       DocT
A066	I'm Evil     WMF
A067	InfinitesimaDocT
A068	Jankorgel    SCD
A069	Leading      SCD
A070	Maximum Zorin  T
A071	MeetInTheSky SCD
A072	Meridian    DocT
A073	Messing     DocT
A074	Minimal Bass JL
A075	Morph Bass    ST
A076	Moving       SCD
A077	NearlyInTune SCD
A078	Neocrest      ST
A079	Octopussy Pad  T
A080	Organella
A081	Partyhupe     ST
A082	Pastry      DocT
A083	Persecutor  DocT
A084	Phalanx       ST
A085	Pick It Up!  SCD
A086	Pienzchen   DocT
A087	Pigs X-Mod   TEK
A088	PlainBass   DocT
A089	PolterBlofeldSCD
A090	Poly Lead    SCD
A091	PPG Piano    SCD
A092	PPG T40 like TEK
A093	PredictaBass WMF
A094	Pressure    DocT
A095	Principia   DocT
A096	Pure        DocT
A097	Reset       DocT
A098	Ricochet2008 SCD
A099	RingThemBellsSCD
A100	Robotic       JL
A101	Saw Orgy     SCD
A102	Seq 1        SCD
A103	Seven Ties   SCD
A104	S&Hatmo
A105	Sobstuff    DocT
A106	Soft Brass 2DocT
A107	SpatialDrive1SCD
A108	SpatialDrive2SCD
A109	Stenzelized  SCD
A110	Stop Bass    SCD
A111	SunOfTheDogs WMF
A112	Supersaw      ST
A113	Tabloid     DocT
A114	Telenovela  DocT
A115	Thrill Arp   SCD
A116	Utmost      DocT
A117	Variator    DocT
A118	Wave Mayhem DocT
A119	WavEpiano    SCD
A120	West Wave  H2SCD
A121	AfterConcert SCD
A122	AnalogBass   SCD
A123	Barbarie BrassST
A124	Basster Keaton
A125	Bend Me     DocT
A126	Bioshock      JL
A127	Blubber      TEK
A128	Diving Echos TEK
B001	Flups Bass    ST
B002	Goonraker   DocT
B003	microQ Plus
B004	MiniMoogThnd TEK
B005	Octa Bass     ST
B006	Porno Bass    ST
B007	ReSolotion   WMF
B008	Roadies Keyb TEK
B009	Spynett     DocT
B010	Tines       DocT
B011	Velo Drive   SCD
B012	Vangelibells SCD

Keys
------------------------
B013	Bellflutes
B014	Bellissimo
B015	Bells'E.Piano RZ
B016	Cheap Organ
B017	Chorgany      SK
B018	Combuder Orgs SK
B019	Crunge Organ  SK
B020	DeepHouse     SK
B021	Dirty Organ1 WMF
B022	Driven Keys
B023	Dull Bells
B024	DX-ClassiQ    HS
B025	DX-Pipe       HS
B026	Easy Piano    HS
B027	ElectricOrgan
B028	ElectricPiano
B029	Fat Sine Keys
B030	FM KeysMelody
B031	FM Roads
B032	Full Organ    HS
B033	Glockenspiel
B034	GS-Piano      HS
